Name,Location,Type,Manufacturer
SMG-5001,Marketing,Color MFP,Ricoh
SMG-5004,Finance,Color MFP,Konica Minolta
SMG-5005,Rad Support,BW MFP,NULL
SMG-5007,Finance,BW,HP
SMG-5008,Finance,BW,HP
SMG-5009,HR,Color,NULL
SMG-5010,Executive,BW (Envelope),NULL
SMG-5011,HR,BW,NULL
SMG-5012,Rad Support,BW,NULL
SMG-5013,Workroom,Color MFP,Konica Minolta
SMG-5014,,,
SMG-5015,Payroll,BW,HP
